symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
CAT,2010-01-04 00:00:00+00:00,58.55,59.19,57.51,57.65,7325600,43.2243788331,43.6968570987,42.4566016514,42.559956272,7325600,0.0,1.0
CAT,2010-01-05 00:00:00+00:00,59.25,59.44,58.23,58.55,5697200,43.7411519361,43.8814189212,42.9881397002,43.2243788331,5697200,0.0,1.0
CAT,2010-01-06 00:00:00+00:00,59.43,59.93,59.0505,59.18,4718800,43.8740364483,44.2431600933,43.5938716017,43.6894746258,4718800,0.0,1.0
CAT,2010-01-07 00:00:00+00:00,59.67,59.905,58.65,59.3,5432900,44.0512157979,44.2247039111,43.2982035621,43.7780643006,5432900,0.0,1.0
CAT,2010-01-08 00:00:00+00:00,60.34,60.37,59.25,59.25,6651300,44.5458414823,44.567988901,43.7411519361,43.7411519361,6651300,0.0,1.0
CAT,2010-01-11 00:00:00+00:00,64.13,64.42,60.85,60.95,21958800,47.3437987116,47.5578904257,44.9223476002,44.9961723292,21958800,0.0,1.0
CAT,2010-01-12 00:00:00+00:00,62.24,63.16,61.18,63.01,13561900,45.9485113334,46.6276988402,45.1659692059,46.5169617467,13561900,0.0,1.0
CAT,2010-01-13 00:00:00+00:00,62.33,62.78,61.38,62.1,8398700,46.0149535895,46.34716487,45.3136186639,45.8451567128,8398700,0.0,1.0
CAT,2010-01-14 00:00:00+00:00,61.98,62.84,61.75,62.1,6224100,45.756567038,46.3914597074,45.5867701612,45.8451567128,6224100,0.0,1.0
CAT,2010-01-15 00:00:00+00:00,60.12,61.67,60.01,61.45,9397000,44.6934909403,45.845768235,44.6117164226,45.6822191996,9397000,0.42,1.0
CAT,2010-01-19 00:00:00+00:00,60.93,61.2,59.35,59.76,8056500,45.2956487523,45.496368023,44.1210693165,44.425865246,8056500,0.0,1.0
CAT,2010-01-20 00:00:00+00:00,59.76,60.43,59.31,60.17,6953500,44.425865246,44.9239463992,44.0913331282,44.7306611756,6953500,0.0,1.0
CAT,2010-01-21 00:00:00+00:00,56.85,59.9,56.7,59.5,13874900,42.2625575508,44.5299419049,42.1510468449,44.2325800224,13874900,0.0,1.0
CAT,2010-01-22 00:00:00+00:00,54.25,57.5389,54.02,56.58,14757600,40.3297053145,42.774689053,40.1587222321,42.0618382801,14757600,0.0,1.0
CAT,2010-01-25 00:00:00+00:00,55.14,56.19,54.83,55.16,9777300,40.9913355031,41.7719104447,40.7608800442,41.0062035972,9777300,0.0,1.0
CAT,2010-01-26 00:00:00+00:00,55.85,56.94,54.6,54.99,15218300,41.5191528446,42.3294639744,40.5898969617,40.8798247972,15218300,0.0,1.0
CAT,2010-01-27 00:00:00+00:00,53.44,53.84,51.03,52.96,34041000,39.7275475025,40.024909385,37.9359421604,39.3707132435,34041000,0.0,1.0
