symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
CVX,2010-01-04 00:00:00+00:00,79.06,79.2,78.16,78.2,10173800,51.5632053963,51.6545138804,50.976222284,51.0023104223,10173800,0.0,1.0
CVX,2010-01-05 00:00:00+00:00,79.62,79.62,78.72,79.22,10593700,51.9284393328,51.9284393328,51.3414562206,51.6675579496,10593700,0.0,1.0
CVX,2010-01-06 00:00:00+00:00,79.63,80.0,79.19,79.44,11014600,51.9349613674,52.1762766469,51.6479918459,51.8110427104,11014600,0.0,1.0
CVX,2010-01-07 00:00:00+00:00,79.33,79.7,78.97,79.36,9626900,51.73930033,51.9806156095,51.5045070851,51.7588664337,9626900,0.0,1.0
CVX,2010-01-08 00:00:00+00:00,79.47,79.47,78.89,79.12,5624300,51.8306088141,51.8306088141,51.4523308084,51.6023376038,5624300,0.0,1.0
CVX,2010-01-11 00:00:00+00:00,80.88,81.09,80.06,80.17,11916800,52.75021569,52.8871784162,52.2154088544,52.2871512348,11916800,0.0,1.0
CVX,2010-01-12 00:00:00+00:00,80.41,80.45,79.47,79.52,12175200,52.4436800647,52.469768203,51.8306088141,51.863218987,12175200,0.0,1.0
CVX,2010-01-13 00:00:00+00:00,79.8,80.41,79.09,80.27,10842200,52.0458359553,52.4436800647,51.5827715,52.3523715806,10842200,0.0,1.0
CVX,2010-01-14 00:00:00+00:00,79.55,79.8,79.15,79.63,6721000,51.8827850908,52.0458359553,51.6219037075,51.9349613674,6721000,0.0,1.0
CVX,2010-01-15 00:00:00+00:00,79.23,79.69,78.28,79.54,13482300,51.6740799842,51.9740935749,51.054486699,51.8762630562,13482300,0.0,1.0
CVX,2010-01-19 00:00:00+00:00,79.68,79.75,78.57,78.96,8722200,51.9675715403,52.0132257824,51.2436257018,51.4979850505,8722200,0.0,1.0
CVX,2010-01-20 00:00:00+00:00,78.15,78.93,77.65,78.71,8703800,50.9697002494,51.4784189468,50.6435985204,51.334934186,8703800,0.0,1.0
CVX,2010-01-21 00:00:00+00:00,76.24,78.18,76.06,78.15,12573200,49.7239916445,50.9892663532,49.606595022,50.9697002494,12573200,0.0,1.0
CVX,2010-01-22 00:00:00+00:00,74.59,76.59,74.43,75.98,13825000,48.6478559387,49.9522628548,48.5435033854,49.5544187454,13825000,0.0,1.0
CVX,2010-01-25 00:00:00+00:00,74.55,75.27,74.09,75.15,9129700,48.6217678003,49.0913542902,48.3217542096,49.0130898752,9129700,0.0,1.0
