round_epochs,loss,root_mean_squared_error,batch_size,dropout,epochs,losses,metric,optimizer,units_first_layer,units_second_layer
1,0.0010799227748066187,0.03286217898130417,1,0.0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,50,10
1,0.001277285860851407,0.03573913499712944,1,0.0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,50,25
1,0.0009595092851668596,0.0309759471565485,1,0.0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,100,10
1,0.001072764047421515,0.032753076404333115,1,0.0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,100,25
1,0.0009266426786780357,0.030440805479884148,1,0.0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,50,10
1,0.0009323194972239435,0.030533907935023308,1,0.0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,50,25
1,0.0010170487221330404,0.03189120069146156,1,0.0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,100,10
1,0.0010060985805466771,0.031719058752059937,1,0.0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,100,25
1,0.0021793830674141645,0.046683862805366516,1,0.04,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,50,10
1,0.001759521896019578,0.0419466570019722,1,0.04,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,50,25
1,0.0022014984861016273,0.04692012816667557,1,0.04,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,100,10
1,0.0018083399627357721,0.04252457991242409,1,0.04,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,100,25
1,0.002373339142650366,0.04871692880988121,1,0.04,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,50,10
1,0.0018152331467717886,0.042605552822351456,1,0.04,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,50,25
1,0.002381702186539769,0.048802684992551804,1,0.04,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,100,10
1,0.0018124552443623543,0.04257294163107872,1,0.04,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,100,25
1,0.0031978401821106672,0.056549448519945145,1,0.08,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,50,10
1,0.0021032767836004496,0.04586149379611015,1,0.08,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,50,25
1,0.0033505852334201336,0.05788423866033554,1,0.08,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,100,10
1,0.0022546262480318546,0.04748290404677391,1,0.08,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,100,25
1,0.0030660764314234257,0.05537216365337372,1,0.08,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,50,10
1,0.002168353646993637,0.04656558483839035,1,0.08,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,50,25
1,0.003391119185835123,0.058233316987752914,1,0.08,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,100,10
1,0.0027576186694204807,0.05251303315162659,1,0.08,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,100,25
1,0.003953641280531883,0.06287799030542374,1,0.12,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,50,10
1,0.002800561022013426,0.052920326590538025,1,0.12,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,50,25
1,0.0039039328694343567,0.062481459230184555,1,0.12,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,100,10
1,0.0027373649645596743,0.052319832146167755,1,0.12,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,100,25
1,0.004036631900817156,0.06353449076414108,1,0.12,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,50,10
1,0.002551492303609848,0.050512298941612244,1,0.12,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,50,25
1,0.0040413811802864075,0.06357185542583466,1,0.12,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,100,10
1,0.0028547095134854317,0.05342948064208031,1,0.12,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,100,25
1,0.004855103325098753,0.06967857480049133,1,0.16,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,50,10
1,0.0030261394567787647,0.0550103560090065,1,0.16,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,50,25
1,0.004703969694674015,0.06858549267053604,1,0.16,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,100,10
1,0.0030532877426594496,0.05525656417012215,1,0.16,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,100,25
1,0.004901211243122816,0.07000865042209625,1,0.16,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,50,10
1,0.003041679272428155,0.05515142157673836,1,0.16,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,50,25
1,0.004930013325065374,0.07021405547857285,1,0.16,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,100,10
1,0.0033967727795243263,0.05828183889389038,1,0.16,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,100,25
1,0.005596890114247799,0.07481236755847931,1,0.2,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,50,10
1,0.0033779493533074856,0.05812012776732445,1,0.2,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,50,25
1,0.006061077583581209,0.07785291969776154,1,0.2,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,100,10
1,0.003697342937812209,0.060805778950452805,1,0.2,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,100,25
1,0.005741049535572529,0.07576971501111984,1,0.2,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,50,10
1,0.0034211110323667526,0.058490265160799026,1,0.2,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,50,25
1,0.005636205896735191,0.07507466524839401,1,0.2,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,100,10
1,0.003780743572860956,0.06148775294423103,1,0.2,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,100,25
1,0.006126596592366695,0.07827258110046387,1,0.24,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,50,10
1,0.003983297850936651,0.06311337649822235,1,0.24,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,50,25
1,0.006058897823095322,0.07783892005681992,1,0.24,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,100,10
1,0.004311752505600452,0.06566393375396729,1,0.24,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,100,25
1,0.005962748546153307,0.07721883803606033,1,0.24,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,50,10
1,0.0037256667856127024,0.061038240790367126,1,0.24,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,50,25
1,0.006904975976794958,0.08309618383646011,1,0.24,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,100,10
1,0.004284308757632971,0.0654546320438385,1,0.24,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,100,25
