round_epochs,loss,mean_squared_error,val_loss,val_mean_squared_error,batch_size,dropout,epochs,optimizer,units_first_layer,units_second_layer
1,0.00015239787171594799,0.00015239787171594799,0.09148231893777847,0.09148231893777847,1,0,1,Nadam,50,10
1,0.00015513649850618094,0.00015513649850618094,0.09506508708000183,0.09506508708000183,1,0,1,Nadam,50,25
1,0.00026241832529194653,0.00026241832529194653,0.08418115973472595,0.08418115973472595,1,0,1,Nadam,100,10
1,0.00023913657059893012,0.00023913657059893012,0.09775515645742416,0.09775515645742416,1,0,1,Nadam,100,25
1,0.00047931791050359607,0.00047931791050359607,0.07089813798666,0.07089813798666,1,0,1,Adam,50,10
1,0.0004982327809557319,0.0004982327809557319,0.07243148237466812,0.07243148237466812,1,0,1,Adam,50,25
1,0.0004671204078476876,0.0004671204078476876,0.0759727954864502,0.0759727954864502,1,0,1,Adam,100,10
1,0.0004600839165505022,0.0004600839165505022,0.07771971821784973,0.07771971821784973,1,0,1,Adam,100,25
2,0.00022634954075329006,0.00022634954075329006,0.0841297134757042,0.0841297134757042,1,0,4,Nadam,50,10
2,0.00023307093943003565,0.00023307093943003565,0.08413095027208328,0.08413095027208328,1,0,4,Nadam,50,25
2,0.00030774695915170014,0.00030774695915170014,0.08259773254394531,0.08259773254394531,1,0,4,Nadam,100,10
3,0.0002856281353160739,0.0002856281353160739,0.08589957654476166,0.08589957654476166,1,0,4,Nadam,100,25
2,0.000828488206025213,0.000828488206025213,0.07316303998231888,0.07316303998231888,1,0,4,Adam,50,10
2,0.0008163275779224932,0.0008163275779224932,0.07347003370523453,0.07347003370523453,1,0,4,Adam,50,25
2,0.0008085123263299465,0.0008085123263299465,0.07297506183385849,0.07297506183385849,1,0,4,Adam,100,10
2,0.0007865969091653824,0.0007865969091653824,0.07334860414266586,0.07334860414266586,1,0,4,Adam,100,25
1,0.0020429929718375206,0.0020429929718375206,0.07655330747365952,0.07655330747365952,1,0.3,1,Nadam,50,10
1,0.0014195746043697,0.0014195746043697,0.08518760651350021,0.08518760651350021,1,0.3,1,Nadam,50,25
1,0.001946206670254469,0.001946206670254469,0.08096776157617569,0.08096776157617569,1,0.3,1,Nadam,100,10
1,0.0015286223497241735,0.0015286223497241735,0.08167477697134018,0.08167477697134018,1,0.3,1,Nadam,100,25
1,0.0022336868569254875,0.0022336868569254875,0.07382567226886749,0.07382567226886749,1,0.3,1,Adam,50,10
1,0.0018601323245093226,0.0018601323245093226,0.0748651772737503,0.0748651772737503,1,0.3,1,Adam,50,25
1,0.002457289956510067,0.002457289956510067,0.07376260310411453,0.07376260310411453,1,0.3,1,Adam,100,10
1,0.0018583664204925299,0.0018583664204925299,0.0750715509057045,0.0750715509057045,1,0.3,1,Adam,100,25
3,0.001767746638506651,0.001767746638506651,0.08055762946605682,0.08055762946605682,1,0.3,4,Nadam,50,10
4,0.0011746177915483713,0.0011746177915483713,0.08311265707015991,0.08311265707015991,1,0.3,4,Nadam,50,25
4,0.0018615189474076033,0.0018615189474076033,0.07760554552078247,0.07760554552078247,1,0.3,4,Nadam,100,10
