round_epochs,loss,root_mean_squared_error,val_loss,val_root_mean_squared_error,batch_size,dropout,optimizer,units_first_layer,units_second_layer
2,0.0011237397557124496,0.03352222964167595,0.028261691331863403,0.1681121438741684,1,0,Adam,50,10
2,0.0011892087059095502,0.03448490425944328,0.029097218066453934,0.17057906091213226,1,0,Adam,50,25
2,0.0017450578743591905,0.04177388921380043,0.0272994302213192,0.16522538661956787,1,0,Adam,100,10
2,0.001735379220917821,0.041657883673906326,0.028298312798142433,0.16822102665901184,1,0,Adam,100,25
2,0.0029911999590694904,0.0546918623149395,0.027028687298297882,0.164404034614563,1,0.3,Adam,50,10
2,0.0020738716702908278,0.04553978145122528,0.028372133150696754,0.1684402972459793,1,0.3,Adam,50,25
2,0.002728343242779374,0.05223354697227478,0.02887888066470623,0.1699378788471222,1,0.3,Adam,100,10
2,0.0022019147872924805,0.046924564987421036,0.028596477583050728,0.1691049337387085,1,0.3,Adam,100,25
2,0.004127311985939741,0.06424415856599808,0.01601019874215126,0.12653140723705292,10,0,Adam,50,10
2,0.003666497766971588,0.060551609843969345,0.021994953975081444,0.1483069658279419,10,0,Adam,50,25
2,0.0031798311974853277,0.05638999119400978,0.0185146052390337,0.13606838881969452,10,0,Adam,100,10
2,0.0032793402206152678,0.057265523821115494,0.023647375404834747,0.15377703309059143,10,0,Adam,100,25
2,0.006745214574038982,0.08212925493717194,0.015426223166286945,0.12420234829187393,10,0.3,Adam,50,10
2,0.005740890745073557,0.07576866447925568,0.018862659111618996,0.13734139502048492,10,0.3,Adam,50,25
2,0.00744067644700408,0.08625935763120651,0.024989662691950798,0.15808118879795074,10,0.3,Adam,100,10
2,0.006026484537869692,0.0776304379105568,0.01770481839776039,0.13305945694446564,10,0.3,Adam,100,25
